STT,Ten Group,Link post,Caption,Post Reaction,Reaction Group 1 Like Love Care Haha Wow,Reaction Group 2 Sad,Reaction Group 3 Angry,Comment,Sub-loai,Sentiment,Tich cuc,Trung lap,Tieu cuc,Spam,Binh luan mention tieu cuc den Prudential,Ty le Tieu cuc/Tich cuc + Trung lap,De xuat seeding,Tru cot Manual
11,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1616677266583240/,"Ai chơi lễ chứ giờ em còn bận edit 🥲 Mọi người ủng hộ kênh em nha, flop quá 😤 TikTok: https://www.tiktok.com/@kietbaohiem Facebook: https://www.facebook.com/Kiet.MDRT/reel YouTube: https://youtube.com/@kietgenerali 📂 Tổng hợp một số case chi trả quyền lợi bảo hiểm gần đây: https://drive.google.com/drive/u/1/folders/1AKmh6iDXzPth7WcRSHacS_vrmBrFx9sppL3OMziwEWmlZGHUoW7jzbjAkJxjkGQC2CQ6YeQV",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
12,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617056133212020/,"🇻🇳 CHÚC MỪNG 81 NĂM QUỐC KHÁNH NƯỚC CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM (02/9/1945 – 02/9/2026) 🇻🇳 🌟 Hòa chung trong không khí hào hùng của ngày Tết Độc lập, sắc đỏ rực rỡ của lá cờ Tổ quốc lại tung bay trên khắp mọi nẻo đường, thắp sáng niềm tự hào sâu sắc trong trái tim mỗi người Việt Nam. 🕊️ Trải qua 81 năm kể từ ngày Chủ tịch Hồ Chí Minh đọc bản Tuyên ngôn Độc lập, đất nước chúng ta đã đi qua một hành trình vinh quang với biết bao đổi thay. Hôm nay là dịp thiêng liêng để chúng ta cùng nhau trân trọng những giá trị của hòa bình, tự do; tự hào về những thành tựu của dân tộc và vững tin bước vào chặng đường vươn mình phía trước. 🤝 Nhân dịp Quốc khánh 2/9, Bảo hiểm PVI Khánh Hòa kính chúc Quý Khách hàng, Quý Đối tác cùng gia đình một kỳ nghỉ lễ thật nhiều niềm vui, bình an và trọn vẹn khoảnh khắc ý nghĩa bên những người thân yêu. 🎆 Kính chúc mọi gia đình luôn an khang, thịnh vượng. Chúc cho Tổ quốc Việt Nam ngày càng phồn vinh và vững mạnh! ━━━━━━━━━━━━━━━━━━━━━ 🏢 BẢO HIỂM PVI KHÁNH HÒA – ĐỒNG HÀNH VÌ CUỘC SỐNG AN TOÀN ☎️ Hotline: 094.240.2779 📍 Địa chỉ: STH28A.03, Đường số 13, KĐT Lê Hồng Phong II, Nha Trang, Khánh Hòa. 🌐 Website: https://pvikhanhhoa.com",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
13,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617139329870367/,"MỘT CƠ HỘI HỢP TÁC CHO ANH/CHỊ LÀM BẢO HIỂM Làm bảo hiểm có một lợi thế rất lớn: anh/chị đã có sẵn mạng lưới khách hàng. Bên mình đang phát triển chuỗi 500 SPA trên toàn quốc. Anh/chị chỉ cần giới thiệu, kết nối khách hàng. Công ty lo mặt bằng, kỹ thuật viên, đào tạo, quy trình, marketing và vận hành. Công ty còn tài trợ voucher để anh/chị gửi tặng khách hàng, vừa mang lại lợi ích thiết thực vừa duy trì mối quan hệ lâu dài. Chia lợi nhuận 60% – 40%. Không cần đầu tư vốn. Muốn tìm hiểu mô hình, IB mình trao đổi nhé!",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
14,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617223906528576/,"🎉 CHÀO MỪNG THÀNH VIÊN MỚI ĐẾN VỚI NHÓM! 🎉 Xin gửi lời chào nồng nhiệt đến tất cả các bạn vừa tham gia cùng gia đình chung của chúng ta 💐 Rất vui khi được kết nối cùng những người bạn có chung mối quan tâm. 👉 Hãy cùng nhau chia sẻ, học hỏi và lan tỏa những giá trị tích cực 👉 Các bạn vui lòng tuân thủ Quy tắc cộng đồng và Quy tắc nhóm để tránh bài viết bị từ chối! 💖 Chúc bạn sẽ có những trải nghiệm thú vị và hữu ích trong nhóm! Ngô Hải, Nguyệt Dương Lê, Nguyễn Thương, Quỳnh Thúy, Bảo Lâm Stone, Nguyễn Mai, Đoàn Ngọc Ánh, Nguyễn Hằng, Phạm Thanh, Mạnh Mạnh, Thuy Trang, Nguyen Thuy, Dinh Luong Duyen, Phan Thị Thùy Trang, Le Hai Ly, Vu Quynh Trang, Trần Lan Anh, Đỗ Thị Nga, Xưởng May Túi Vải Grepaco, Dinh Hoang Anh, Nguyễn Phương, Hoa Mac, Thanh Mai, Lá Ba Cỏ, Quynh Anh, Thanh Thảo, Đinh Mai, Vy Vu, Choo Won, Nguyễn Lan, Nguyễn Cẩm Thơ, Chang Trang Chanel, Nguyễn Thị Thúy, Nguyễn Thị Lam, Trần Hữu Phú, Phương Thảo, Chuyện Nghề Của Huyền, Trương Quốc Cường, Lê Duy, Luong Tung, Huyên Thai, Thành Nhânn, Tuyển CTV bảo hiểm, Lê Ly, Ng Lan, Thành Dũng, Hà My, Huynh Thanhhuy, Nguyễn Thị Bích Hiển, Dong Thanh Nhu, Lâm Thắng, Anh Thu, Vũ Thủy, Bang Lang Hoa, Khả Nhi, Phạm Như Quỳnh, Nguyễn Hà, Hoa Đỗ, Chuyên Matcha Và Nlpc, Linh Linh, Thành Tài, Lee Dong Chun, Trần Xuân, Cải Chíp, Trần Dung, Bảo Minh, Phan Huyền Anh, Đức Ang, Mai Nguyen Nhu, Dược Sĩ Ngọc, Hương Giang, Bình Hoàng, Thu Hà Nguyễn",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
15,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617244063193227/,Nhành hồng mùa Vu Lan - Bolero,0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
16,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617328759851424/,"Phần 1|Khách hàng yêu cầu chi trả 175 triệu, nhưng bảo hiểm chỉ trả 25 triệu và không đề cập tới 150 triệu còn thiếu ? Cùng đón xem câu chuyện thực tế của 1 khách hàng may mắn được Hưng hỗ trợ.",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
17,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617435659840734/,"34 tuổi, rời ngân hàng để bắt đầu lại. Có ai từng giống tôi không? Vừa háo hức. Vừa lo lắng. Vừa hồi hộp với những điều chưa biết phía trước. Nhưng rồi tôi nhận ra… Không ai tự tin rồi mới bắt đầu. Chúng ta thường vừa sợ, vừa bước đi. 🇻🇳 Quốc khánh năm nay, tôi chọn tin vào bản thân thêm một lần nữa. ❤️🌱 #chuyennghecuaHuyen #baohiemprudential #xuhuong #quockhanh",0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
18,BẢO HIỂM NHÂN THỌ - Hội chuyên viên tư vấn,https://www.facebook.com/groups/baohiemnhantho.chuyenvien/posts/1617590013158632/,,0,0,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
19,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745212033352787/,"Mn cho mh hỏi Xem lại quyền lợi của thẻ sk của gen mà mh đã mua ở chỗ nào, Vào trong app thì k ghi cụ thể quyền lợi chỉ ghi chung ví dụ 120tr chả hạn Và thẻ mh mua từ năm 2024 ( bổ sung mua thêm sau gói nhân thọ ban đầu) Vậy thẻ này mh vẫn dc tái tục tiếp đến năm 85 tuổi hay đến năm 75 tuổi K thấy ghi quyền lợi hay hạn ở đâu nên mh k biết xem lại như nào Mức phí sẽ đóng của thẻ sk này thay đổi hàng năm theo độ tuổi thì mh xem ở đâu, nó sẽ theo biểu phí hồi mh bắt đầu mua hay nó theo biểu phí mới của bây giờ Nếu theo biểu phí cũ thì là xem biểu phí này ở đâu. Mh muốn xem lại chi tiết vì mh muốn đổi thẻ sang bên khác nên xem so sánh lại do đều k bị loại trừ gì nên thấy bên nào hơn thì mh đổi bên đó thôi",10,10,0,0,25,dich vu tu van,Trung lap,3,12,1,9,0,1/16 (6.2%),Normal,
20,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745312703342720/,"Cho em hỏi trước em có dùng BH Doanh nghiệp bên PVI. Sau khi nghỉ việc thì phát hiện bị K giáp, giờ đã chữa khỏi. Cho em hỏi còn có thể tự mua bh sức khỏe nữa k ạ?",10,10,0,0,8,tham dinh ho so,Spam,2,2,0,4,0,0/4 (0.0%),Normal,
21,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745395436667780/,Em muốn mua bảo hiểm AIA ở Hà Nội. Em muốn được tư vấn trực tiếp. Khu vực Tây Hồ,19,19,0,0,16,tu van bao hiem,Spam,2,1,0,13,0,0/3 (0.0%),Normal,
22,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745721029968554/,"🇻🇳 MỪNG QUỐC KHÁNH 2/9 – GENERALI GỬI TẶNG MỘT “MÓN QUÀ SỨC KHỎE” ĐẾN CẢ GIA ĐÌNH! ❤️ Từ 01/09 – 30/09/2026, chương trình “Hành trình sống khỏe – Trao bảo vệ trọn an tâm” dành cho khách hàng đủ điều kiện: 🎁 Quà tặng tương đương 20% phí – NĐBH trên 5 tuổi 🎁 Quà tặng tương đương 30% phí – NĐBH từ 0 đến 5 tuổi Đặc biệt với gia đình có con nhỏ, đây cũng là dịp để ba mẹ cân nhắc chủ động chuẩn bị giải pháp chăm sóc sức khỏe cho con khi con còn khỏe, lưu ý các điều kiện tham gia và thời gian chờ theo sản phẩm. ❤️ Mừng Quốc Khánh – trao bảo vệ, gửi an tâm đến những người mình yêu thương. 📩 Nhắn Quỳnh để kiểm tra sản phẩm, quyền lợi và điều kiện nhận quà phù hợp. Chương trình áp dụng theo thể lệ, sản phẩm và điều kiện của Generali. #quynhluckybaohiem #baohiemnhantho #GeneraliVietnam #CC01",3,3,0,0,0,,,0,0,0,0,0,0/0 (0%),Normal,
23,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745737233300267/,"Hỏi đáp quyền lợi bảo hiểm sức khoẻ Công ty có mua cho nhân viên BHSK PTI, quyền lợi thai sản tối đa 20tr/lần sinh (tất nhiên còn áp dụng các mức giới hạn phụ khác) Tuy nhiên đoạn giải thích quyền lợi có đoạn “Giải thích rõ ý của câu này trong hợp đồng bảo hiểm PTI đồng ý mở rộng bảo hiểm cho các gói sinh dịch vụ tại các Bệnh viện Công, cụ thể:áp dụng 1 trong 2 cách sau theo quyền lợi cao hơn - Đối với chi phí sinh tại BV công: PTI đồng ý chi trả chi phí yêu cầu, tối đa VND 13,000,000/ ca sinh (không bao gồm các chi phí đẻ không đau, chiếu tia Plasma), trong đó: + Sinh thường: Thanh toán theo giới hạn viện phí/ngày + Sinh mổ: Thanh toán 50% theo giới hạnviện phí/ngày + 50% theo giới hạn phẫu thuật Hoặc - Chi phí điều trị không có bảng kê: PTI đồng ý chi trả chi phí y tế thực tế không vượt quá các giới hạn phụ tối đa theo giới hạn thai sản hoặc 20 triệu (chi phí nào thấp hơn), trong đó: + Sinh thường: Thanh toán theo giới hạn viện phí/ngày + Sinh mổ: Thanh toán 50% theo giới hạnviện phí/ngày + 50% theo giới hạn phẫu thuật” Vậy anh chị có kinh nghiệm có thể giải thích cho em việc 13tr này đc ko ạ? Giả sử em muốn sinh ở PSTW, gói sinh dịch vụ 15 tr là chi phí chọn giờ và chọn bsi, còn lại dùng bao nhiêu chi trả thêm (năm 2025 e hết tổng 38tr) Thì bâyh nếu đăng kí gói dịch vụ thì BH chỉ trả tối đa 13tr hay sao ạ?",4,4,0,0,8,quyen loi thai san,Trung lap,2,4,0,1,0,0/6 (0.0%),Normal,
24,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745784616628862/,☘️ GENERALI - MỪNG QUỐC KHÁNH 02/09 🇻🇳🇻🇳🇻🇳 🎁 𝐍𝐡𝐚̣̂𝐧 𝐧𝐠𝐚𝐲 𝐪𝐮𝐚̀ 𝐭𝐚̣̆𝐧𝐠 𝐭𝐢𝐞̂̀𝐧 𝐦𝐚̣̆𝐭 𝐭𝐮̛𝐨̛𝐧𝐠 đ𝐮̛𝐨̛𝐧𝐠 𝟐𝟎% 𝐡𝐨𝐚̣̆𝐜 𝟑𝟎% 𝐩𝐡𝐢́ 𝐛𝐚̉𝐨 𝐡𝐢𝐞̂̉𝐦 của thẻ sức khoẻ Generali NỘI - NGOẠI TRÚ HẠNG TIÊU CHUẨN . Cụ thể : 🔥 Tặng 30% phí thẻ sức khoẻ : Áp dụng cho Người được bảo hiểm từ 0 đến 5 tuổi. 🔥 Tặng 20% phí thẻ sức khoẻ : Áp dụng cho Người được bảo hiểm trên 5 tuổi ⏰ Thời gian áp dụng: Từ 01/09/2026 đến 30/09/2026 📩 𝐂𝐨̛ 𝐡𝐨̣̂𝐢 đ𝐞̂̉ 𝐜𝐡𝐨̂́𝐭 𝐭𝐡𝐚𝐦 𝐠𝐢𝐚 𝐭𝐡𝐞̉ 𝐬𝐮̛́𝐜 𝐤𝐡𝐨𝐞̉ 𝐆𝐞𝐧𝐞𝐫𝐚𝐥𝐢 𝐤𝐡𝐨̂𝐧𝐠 đ𝐨̂̀𝐧𝐠 𝐜𝐡𝐢 𝐦𝐨̣𝐢 𝐥𝐮̛́𝐚 𝐭𝐮𝐨̂̉𝐢. - 𝐊𝐡𝐚́𝐧𝐡 𝐇𝐚̀ 𝐁𝐚̉𝐨 𝐡𝐢𝐞̂̉𝐦 | 𝐁𝐚̉𝐨 𝐡𝐢𝐞̂̉𝐦 𝐆𝐞𝐧𝐞𝐫𝐚𝐥𝐢 - 𝑪𝒉𝒂̆𝒎 𝒔𝒐́𝒄 & đ𝒐̂̀𝒏𝒈 𝒉𝒂̀𝒏𝒉 𝒌𝒉𝒂́𝒄𝒉 𝒉𝒂̀𝒏𝒈 𝒕𝒓𝒆̂𝒏 𝒕𝒐𝒂̀𝒏 𝒒𝒖𝒐̂́𝒄 📞 09.686.739.7️⃣6️⃣ #KhanhHaBaohiem #DaiLeMung2Thang9 #QuatangGenerali #TheSucKhoeGenerali,1,1,0,0,4,,,0,0,0,0,0,0/0 (0%),Normal,
25,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745797719960885/,"Bảo hiểm cho bé 14m Chào cả nhà mình, em muốn mua bảo hiểm cho bé 14 tháng tuổi. Bé từng điều trị viêm phổi 1 tuần Sốt virus 1 tuần Viêm amidan 3 ngày Điều trị nội trú tại bệnh viện công Gần nhà em có Bvien Vinmec và bệnh viện công Nhờ cả nhà mình tư ấn giúp em gói bảo hiểm phù hợp cho bé! Em cảm ơn ạ!",13,13,0,0,25,san pham va giai phap,Spam,0,2,0,17,0,0/2 (0.0%),Normal,
26,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745834486623875/,"Tư vấn bảo hiểm Bé nhà em hiện 12 tháng, e đang có nhu cầu mua bảo hiểm nhân thọ cho mẹ kèm thẻ sức khoẻ cho con. Tiền sử bệnh: bé thiếu men G6pd. Nhu cầu của e sẽ thiên về thẻ sức khoẻ của con, bh bảo lãnh tại vinmec, HN, nhi tw,…anh chị nào đã từng gặp ca giống trường hợp như bé nhà e tu van giups e vs ah",11,11,0,0,20,the suc khoe,Spam,2,0,0,7,0,0/2 (0.0%),Normal,
27,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745840856623238/,"Em chào các anh chị Em muốn mua bảo hiểm cho bố em sinh năm 1964. Bố em có tiền sử khám chữa bệnh các bệnh về tối loạn tiền đình, rối loạn mỡ máu, thoái hóa cột sống ạ. Em đang tham khảo 2 phương án là mua BHNT+ thẻ cssk cho bố hoặc mua BHNT cho em và thẻ cssk cho bố. Theo anh chị em nên chọn phương án nào và mua của hãng nào để bố em có quyền lợi khám chữa bệnh tốt nhất với ạ Em cảm ơn anh chị",10,10,0,0,27,bao hiem suc khoe,Trung lap,4,14,1,8,0,1/19 (5.3%),Normal,
28,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745842583289732/,Cho em hỏi mấy tháng công việc stress và thường làm 26 ngày liên tục không được nghỉ. Và bị dính mưa đau đầu.Có đi chụp MRI k bị sao.Chỉ là đau đầu trái và tiện xin nằm viện điều trị theo dõi 4 ngày. Vậy có mua được bảo hiểm nhân thọ và thẻ sức khoẻ bên nào không ạ? Bs chẩn đoán để nằm viện: Bệnh đau nửa đầu trái ạ,10,10,0,0,41,tu van bao hiem,Trung lap,7,15,1,14,0,1/23 (4.3%),Normal,
29,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745849573289033/,Có anh chị nào mua thẻ bh sức khoẻ Manulife cho bé dưới 6 tuổi không ạ? Em chỉ mua thẻ bh sức khoẻ nội ngoại trú thì nên mua bên nào ạ?,7,7,0,0,15,san pham va giai phap,Spam,0,1,0,13,0,0/1 (0.0%),Normal,
30,REVIEW BẢO HIỂM,https://www.facebook.com/groups/hoireviewbaohiem/posts/1745898143284176/,"Cái này e k hỏi tư vấn viên Xin ý kiến đã dùng thực tế Mh đang muốn tham gia của sun, thẻ sk, mn đã dùng thì mh xin đánh giá, yêu cầu bảo hiểm bên này giải quyết có nhanh k, có loại trừ lặt vặt gì k T đang xài thẻ gen mà phí cao quá nên đang muốn tham gia sang sun rồi đổi thẻ sang bên này. Mh k có bị bệnh loại trừ gì hết.",5,5,0,0,17,san pham va giai phap,Trung lap,2,8,1,6,0,1/11 (9.1%),Normal,
